estado_civil;modo_solicitud;orden_solicitud;curso;asistencia_diurna_vespertina;cualificacion_previa;nota_cualificacion_previa;nacionalidad;cualificacion_madre;cualificacion_padre;ocupacion_madre;ocupacion_padre;nota_admision;desplazado;necesidades_educativas_especiales;deudor;matricula_al_dia;genero;becado;edad_al_matricularse;internacional;asignaturas_1sem_convalidadas;asignaturas_1sem_matriculadas;asignaturas_1sem_evaluadas;asignaturas_1sem_aprobadas;nota_media_1sem;asignaturas_1sem_sin_evaluacion;asignaturas_2sem_convalidadas;asignaturas_2sem_matriculadas;asignaturas_2sem_evaluadas;asignaturas_2sem_aprobadas;nota_media_2sem;asignaturas_2sem_sin_evaluacion;tasa_desempleo;tasa_inflacion;pib;objetivo
soltero/a;1a_fase_contingente_general;1;gestion_de_publicidad_y_marketing;diurna;educacion_secundaria;139.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_cualificados_de_industria_construccion_y_artesania;130.6;si;no;no;si;mujer;no;18;no;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria;diurna;educacion_secundaria;136.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;119.3;si;no;no;si;mujer;si;18;no;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;graduado
soltero/a;1a_fase_contingente_general;2;educacion_basica;diurna;educacion_secundaria;133.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;personal_administrativo;trabajadores_no_cualificados;130.2;si;no;no;si;mujer;no;19;no;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;abandono
soltero/a;titular_de_diploma_de_ciclo_corto;1;turismo;diurna;curso_tecnico_superior_profesional;110.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;personal_administrativo;trabajadores_cualificados_de_industria_construccion_y_artesania;111.8;si;no;no;si;mujer;si;21;no;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria_veterinaria;diurna;educacion_secundaria;149.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_de_servicios_personales_seguridad_y_vendedores;137.1;si;no;no;si;mujer;si;18;no;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;graduado
soltero/a;1a_fase_contingente_general;1;periodismo_y_comunicacion;diurna;educacion_secundaria;127.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;tecnicos_y_profesiones_de_nivel_intermedio;120.7;si;no;no;si;mujer;no;20;no;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;abandono
soltero/a;3a_fase_contingente_general;1;servicio_social;diurna;educacion_secundaria;137.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;operadores_de_instalaciones_y_maquinaria_y_montadores;137.4;si;no;no;si;mujer;no;18;no;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;matriculado
soltero/a;2a_fase_contingente_general;2;enfermeria;diurna;educacion_secundaria;135.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;personal_administrativo;127.3;si;no;no;si;mujer;no;18;no;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;graduado
soltero/a;1a_fase_contingente_general;1;equicultura;diurna;educacion_secundaria;137.0;portuguesa;educacion_superior_grado;educacion_basica_3er_ciclo_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;trabajadores_de_servicios_personales_seguridad_y_vendedores;136.3;si;no;no;si;mujer;no;20;no;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;graduado
soltero/a;1a_fase_contingente_general;1;educacion_basica;diurna;educacion_secundaria;140.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;trabajadores_cualificados_de_industria_construccion_y_artesania;124.6;si;no;no;si;mujer;no;18;no;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;matriculado
soltero/a;1a_fase_contingente_general;3;animacion_y_diseno_multimedia;diurna;educacion_secundaria;122.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;operadores_de_instalaciones_y_maquinaria_y_montadores;120.3;no;no;no;si;mujer;si;21;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;graduado
soltero/a;3a_fase_contingente_general;4;higiene_oral;diurna;educacion_secundaria;127.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;personal_administrativo;trabajadores_cualificados_de_industria_construccion_y_artesania;121.8;si;no;no;si;mujer;no;20;no;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;matriculado
soltero/a;1a_fase_contingente_general;4;enfermeria;diurna;educacion_secundaria;142.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;125.5;si;no;no;si;mujer;no;18;no;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7;graduado
soltero/a;1a_fase_contingente_general;4;gestion_de_publicidad_y_marketing;diurna;educacion_secundaria;125.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;personal_administrativo;trabajadores_cualificados_de_industria_construccion_y_artesania;114.9;si;no;no;si;mujer;si;19;no;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria;diurna;educacion_secundaria;126.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;trabajadores_cualificados_de_industria_construccion_y_artesania;123.9;no;no;no;si;mujer;no;19;no;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02;graduado
soltero/a;1a_fase_contingente_general;1;servicio_social;diurna;educacion_secundaria;151.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;157.0;si;no;si;si;mujer;si;18;no;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;matriculado
soltero/a;2a_fase_contingente_general;2;servicio_social;diurna;educacion_secundaria;115.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;operadores_de_instalaciones_y_maquinaria_y_montadores;116.4;si;no;no;si;mujer;no;21;no;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria_veterinaria;diurna;educacion_secundaria;138.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;tecnicos_y_profesiones_de_nivel_intermedio;131.0;si;no;no;si;mujer;no;18;no;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;matriculado
soltero/a;1a_fase_contingente_general;1;gestion;diurna;educacion_secundaria;135.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;122.1;si;no;no;si;mujer;no;20;no;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92;graduado
soltero/a;2a_fase_contingente_general;2;enfermeria;diurna;educacion_secundaria;127.0;portuguesa;educacion_superior_grado;educacion_superior_grado;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;profesiones_de_las_fuerzas_armadas;118.8;si;no;no;si;hombre;no;19;no;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92;matriculado
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;agronomia;diurna;curso_de_especializacion_tecnologica;150.0;portuguesa;educacion_superior_master;educacion_superior_doctorado;personal_administrativo;especialistas_en_actividades_intelectuales_y_cientificas;150.0;no;no;no;si;hombre;no;21;no;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92;matriculado
soltero/a;cambio_de_institucion_curso;1;diseno_de_comunicacion;diurna;educacion_secundaria;125.0;portuguesa;curso_tecnico_superior_profesional;educacion_superior_grado;especialistas_en_tic;especialistas_en_finanzas_contabilidad_organizacion_administrativa_y_relaciones_publicas_y_comerciales;130.0;si;no;no;si;hombre;no;20;no;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51;graduado
soltero/a;1a_fase_contingente_general;1;gestion;diurna;educacion_secundaria;143.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;personal_administrativo;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;138.8;no;no;no;no;hombre;no;18;no;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51;matriculado
soltero/a;3a_fase_contingente_general;1;servicio_social_nocturno;vespertina;educacion_secundaria;138.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_de_servicios_personales_seguridad_y_vendedores;134.5;si;no;no;si;mujer;no;19;no;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79;graduado
soltero/a;1a_fase_contingente_general;1;gestion_nocturno;vespertina;educacion_secundaria;130.0;portuguesa;educacion_superior_licenciatura;educacion_basica_1er_ciclo_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;trabajadores_no_cualificados;131.4;no;no;no;si;hombre;no;34;no;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79;graduado
soltero/a;mayor_de_23_anos;1;tecnologias_de_produccion_de_biocombustibles;diurna;educacion_secundaria;130.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;102.5;no;no;si;no;hombre;no;37;no;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;abandono
soltero/a;mayor_de_23_anos;1;ingenieria_informatica;diurna;11o_ano_no_completado;133.1;portuguesa;desconocido;educacion_basica_1er_ciclo_o_equivalente;estudiante;estudiante;128.8;si;no;no;si;hombre;no;43;no;0;5;0;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32;abandono
soltero/a;cambio_de_curso;1;gestion;diurna;educacion_secundaria;140.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;agricultoras_y_trabajadoras_cualificadas_de_agricultura_pesca_y_silvicultura;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;122.9;no;no;no;si;mujer;no;55;no;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;abandono
divorciado/a;mayor_de_23_anos;1;gestion_nocturno;vespertina;educacion_secundaria;120.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_no_cualificadas;tecnicos_y_profesiones_de_nivel_intermedio;113.9;si;no;no;si;mujer;no;39;no;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;graduado
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;equicultura;diurna;curso_de_especializacion_tecnologica;120.0;espanola;educacion_superior_master;educacion_superior_master;tecnicos_y_profesiones_de_nivel_intermedio;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;120.0;no;no;si;no;mujer;no;20;si;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12.4;0.5;1.79;abandono
soltero/a;1a_fase_contingente_general;5;periodismo_y_comunicacion;diurna;educacion_secundaria;126.0;portuguesa;educacion_superior_grado;educacion_superior_grado;especialistas_en_actividades_intelectuales_y_cientificas;especialistas_en_actividades_intelectuales_y_cientificas;121.1;no;no;si;si;mujer;no;18;no;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;abandono
soltero/a;1a_fase_contingente_general;2;gestion;diurna;educacion_secundaria;133.0;portuguesa;educacion_superior_grado;educacion_basica_3er_ciclo_o_equivalente;especialistas_en_actividades_intelectuales_y_cientificas;trabajadores_cualificados_de_industria_construccion_y_artesania;120.4;si;no;no;si;mujer;no;22;no;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;graduado
soltero/a;1a_fase_contingente_general;6;enfermeria;diurna;educacion_secundaria;103.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_superior_grado;especialistas_en_actividades_intelectuales_y_cientificas;especialistas_en_actividades_intelectuales_y_cientificas;100.6;si;si;no;si;mujer;no;22;no;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11.1;0.6;2.02;graduado
soltero/a;2a_fase_contingente_general;1;periodismo_y_comunicacion;diurna;educacion_secundaria;120.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_de_servicios_personales_seguridad_y_vendedores;121.4;no;no;no;no;mujer;no;20;no;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;abandono
soltero/a;mayor_de_23_anos;1;gestion_nocturno;vespertina;educacion_secundaria;133.1;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;109.7;no;no;no;si;mujer;no;29;no;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;abandono
soltero/a;2a_fase_contingente_general;1;gestion_nocturno;vespertina;educacion_secundaria;154.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;personal_administrativo;trabajadores_de_servicios_personales_seguridad_y_vendedores;134.1;no;no;no;si;mujer;no;24;no;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;7.6;2.6;0.32;matriculado
soltero/a;2a_fase_contingente_general;2;servicio_social;diurna;educacion_secundaria;130.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;127.6;si;no;no;si;mujer;no;18;no;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11.1;0.6;2.02;graduado
soltero/a;2a_fase_contingente_general;6;enfermeria;diurna;educacion_secundaria;132.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;trabajadores_cualificados_de_industria_construccion_y_artesania;132.4;si;no;no;si;mujer;si;22;no;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11.1;0.6;2.02;graduado
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;servicio_social_nocturno;vespertina;curso_de_especializacion_tecnologica;130.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;133.4;no;no;no;si;mujer;si;21;no;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12.4;0.5;1.79;graduado
soltero/a;1a_fase_contingente_general;1;servicio_social;diurna;educacion_secundaria;139.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;126.1;no;no;no;si;mujer;si;19;no;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12.7;3.7;-1.7;graduado
soltero/a;mayor_de_23_anos;1;turismo;diurna;educacion_secundaria;130.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_cualificados_de_industria_construccion_y_artesania;113.5;no;no;no;si;mujer;si;24;no;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria;diurna;educacion_secundaria;139.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;agricultoras_y_trabajadoras_cualificadas_de_agricultura_pesca_y_silvicultura;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;121.3;si;no;no;si;mujer;si;19;no;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;9.4;-0.8;-3.12;matriculado
soltero/a;1a_fase_contingente_general;1;periodismo_y_comunicacion;diurna;educacion_secundaria;127.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;trabajadores_cualificados_de_industria_construccion_y_artesania;121.8;si;no;no;si;mujer;si;20;no;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;matriculado
soltero/a;1a_fase_contingente_general;3;equicultura;diurna;educacion_secundaria;167.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;otra_situacion;otra_situacion;159.3;no;no;no;si;mujer;no;19;no;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;7.6;2.6;0.32;graduado
soltero/a;mayor_de_23_anos;1;gestion_nocturno;vespertina;educacion_secundaria;130.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;120.0;no;no;no;si;mujer;no;27;no;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;abandono
soltero/a;1a_fase_contingente_general;1;enfermeria;diurna;educacion_secundaria;130.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_de_servicios_personales_seguridad_y_vendedores;129.1;si;no;no;si;mujer;no;18;no;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15.5;2.8;-4.06;graduado
casado/a;titular_de_otro_curso_superior;1;turismo;diurna;educacion_superior_grado;130.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_superior_grado;personal_administrativo;tecnicos_y_profesiones_de_nivel_intermedio;130.0;no;no;no;si;mujer;no;39;no;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;abandono
soltero/a;mayor_de_23_anos;1;equicultura;diurna;educacion_superior_grado_1er_ciclo;129.0;portuguesa;educacion_superior_grado;educacion_superior_grado;especialistas_en_actividades_intelectuales_y_cientificas;especialistas_en_actividades_intelectuales_y_cientificas;155.3;si;no;no;si;mujer;no;27;no;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;abandono
soltero/a;2a_fase_contingente_general;1;enfermeria;diurna;educacion_secundaria;141.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;profesiones_de_las_fuerzas_armadas;139.8;si;no;no;si;mujer;no;18;no;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12;graduado
soltero/a;1a_fase_contingente_general;3;animacion_y_diseno_multimedia;diurna;educacion_secundaria;125.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;personal_administrativo;trabajadores_no_cualificados;115.2;si;no;no;si;mujer;no;18;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;matriculado
soltero/a;1a_fase_contingente_general;2;enfermeria;diurna;educacion_secundaria;125.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;114.9;no;no;no;si;mujer;no;18;no;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16.2;0.3;-0.92;graduado
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;servicio_social;diurna;curso_de_especializacion_tecnologica;130.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;131.9;no;no;no;si;mujer;si;21;no;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;graduado
soltero/a;2a_fase_contingente_general;3;animacion_y_diseno_multimedia;diurna;educacion_secundaria;133.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;personal_administrativo;trabajadores_cualificados_de_industria_construccion_y_artesania;126.0;si;no;no;si;hombre;si;19;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;matriculado
soltero/a;2a_fase_contingente_general;1;diseno_de_comunicacion;diurna;educacion_secundaria;127.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;personal_administrativo;130.2;si;no;no;si;hombre;no;19;no;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;matriculado
